method name, index construction time (s), index size (MB),,,,,,,
BFS,1.06,81.68,,,,,,,
LandmarkedIndex23(oE)-k=2185-b=20,5_887.34,33_930.80,,,,,,,
,,,,,,,,,
,,,,,,,,,
BFS_queryset-0,BFS_queryset-1,BFS_queryset-2,LandmarkedIndex23(oE)-k=2185-b=20_queryset-0,LandmarkedIndex23(oE)-k=2185-b=20_queryset-1,LandmarkedIndex23(oE)-k=2185-b=20_queryset-2,,,,
0.0209819476,0.0197637081,0.0108483632,4.60942E-006,5.96046E-006,0.000004371,,4551.9713065852,3315.8024900763,2481.8950446122
0.0407807032,0.012238582,0.0061942736,0.000008901,5.00679E-006,4.29153E-006,,4581.6072895508,2444.3969030057,1443.3718580553
0.068530639,0.0050313473,0.0282850266,9.69568E-006,5.00679E-006,4.29153E-006,,7068.1622134807,1004.9047932907,6590.8956828917
0.0592809518,0.0065716902,0.0193033218,8.98043E-006,5.96046E-006,1.700719E-005,,6601.1262055381,1102.5474946565,1135.0094771682
0.0034806728,0.0132304033,0.0082253615,8.98043E-006,5.96046E-006,4.29153E-006,,387.5842058788,2219.6950000503,1916.6501224505
0.0138443311,0.0101100604,0.0067146619,8.98043E-006,5.64257E-006,0.000004371,,1541.6111589312,1791.7474430977,1536.1843765729
0.010109663,0.0154249668,0.0247903665,8.58306E-006,5.96046E-006,0.000004371,,1177.8623241595,2587.8819436755,5671.5549050561
0.0048491955,0.0081093311,0.0669329166,9.29832E-006,5.96046E-006,1.804033E-005,,521.5130776312,1360.5210218674,3710.1824988789
0.0035393238,0.0103750229,0.0388499896,8.26517E-006,4.68889E-006,1.692771E-005,,428.2215368831,2212.6820804071,2295.0528789777
0.0371566614,0.0092627207,0.0450515747,8.98043E-006,6.59624E-006,1.796086E-005,,4137.5147236825,1404.2425290772,2508.3194624311
0.03744332,0.0098726749,0.0260940393,8.98043E-006,9.69568E-006,0.000004371,,4169.4350882976,1018.2550311066,5969.8099473805
0.0331206322,0.0420304139,0.0403023561,4.68889E-006,4.68889E-006,0.000004371,,7063.6402581421,8963.8302327417,9220.397181423
0.0536971092,0.0412340164,0.0688950221,4.68889E-006,4.60942E-006,1.796086E-005,,11451.9874042684,8945.5975827762,3835.8420515499
0.0312719345,0.0379649798,0.048669974,4.60942E-006,5.32468E-006,0.000004371,,6784.3534544476,7130.0021409737,11134.7458247541
0.0512226423,0.0301929315,0.0129712423,4.60942E-006,5.64257E-006,4.60942E-006,,11112.600340173,5350.9183740742,2814.0725427494
0.0539393425,0.0239747365,0.0195590655,4.68889E-006,0.000004371,0.000004371,,11503.6485159601,5484.9545939144,4474.734728895
0.0539557139,0.0097019672,0.0196960767,4.68889E-006,5.96046E-006,0.000004371,,11507.1400480711,1627.7212211809,4506.080235644
0.0489613215,0.0068036715,0.0107347171,5.00679E-006,5.00679E-006,4.29153E-006,,9778.984441129,1358.8889308319,2501.3729485755
0.0419053237,0.0475389957,0.0084626675,0.000004371,5.64257E-006,0.000004371,,9587.1250652025,8425.0608747433,1936.0941340654
0.0292077065,0.0167553425,0.0020026366,5.00679E-006,4.92731E-006,0.000004371,,5833.6192350788,3400.505038246,458.1643994509
0.0496676763,0.0346736908,0.0019819736,4.68889E-006,5.64257E-006,4.21206E-006,,10592.6298718887,6145.0173927838,470.5473426304
0.0291596254,0.0531670252,0.0017300447,4.92731E-006,5.64257E-006,3.97364E-006,,5917.960382034,9422.4839461451,435.3803263507
0.0510547161,0.0485830307,0.0371493498,4.68889E-006,4.68889E-006,0.000004371,,10888.4439835441,10361.3074096428,8499.0505239076
0.0539418856,0.0516423384,0.0016366641,4.68889E-006,5.64257E-006,0.000004371,,11504.1908916609,9152.272533615,374.4369869595
0.0419093768,0.0491627057,0.0375123819,4.92731E-006,4.21206E-006,4.29153E-006,,8505.5287327162,11671.8911245329,8741.0275286436
0.0508947372,0.046738704,0.0016379356,0.000004371,4.68889E-006,0.000004371,,11643.7284923359,9967.9676938465,374.7278952185
0.0675020218,0.0317717393,0.0086919467,5.00679E-006,5.00679E-006,0.000004371,,13482.09567008,6345.7303621682,1988.5487668726
0.0161910057,0.0247940222,0.0086846352,7.3115E-006,4.60942E-006,4.60942E-006,,2214.4574574301,5378.9895995592,1884.1058441192
0.0177016258,0.0258220832,0.0134923458,7.70886E-006,5.00679E-006,4.68889E-006,,2296.2702422926,5157.4128633316,2877.5138252337
0.0406765938,0.0447830359,0.0404599508,7.3115E-006,5.00679E-006,4.29153E-006,,5563.371918211,8944.4606044991,9427.861569184
0.0405999819,0.0405763785,0.023059686,7.62939E-006,3.89417E-006,4.29153E-006,,5321.5239933992,10419.7758444033,5373.3018340778
0.03682669,0.0454320908,0.0017960072,7.62939E-006,4.68889E-006,4.68889E-006,,4826.9507824348,9689.3061577474,383.0346094705
0.0436069965,0.0106023153,0.0017368793,7.94728E-006,5.00679E-006,4.29153E-006,,5487.0341211081,2117.5873683538,404.7226373811
0.0324920813,0.0457352797,0.0018026829,7.62939E-006,4.92731E-006,4.60942E-006,,4258.8046121643,9281.9976234497,391.0867028824
0.0067193508,0.044267416,0.0140236219,0.000004371,5.00679E-006,0.000004371,,1537.2571059254,8841.476474947,3208.3326172501
0.0229489009,0.067712307,0.0194501082,4.60942E-006,5.00679E-006,4.68889E-006,,4978.6959856121,13524.0956720773,4148.1263603966
0.0235665639,0.0591776371,0.0036132336,0.000004371,4.60942E-006,3.97364E-006,,5391.5726195379,12838.4128805793,909.300681491
0.0244209766,0.0531755288,0.0086637338,4.68889E-006,4.68889E-006,4.68889E-006,,5208.2639238711,11340.749908827,1847.7153014893
0.0236293475,0.0531833172,0.0021836758,4.60942E-006,5.00679E-006,4.60942E-006,,5126.3168641608,10622.2384362036,473.7419805529
