DGraph fileName=experiments/graphs/synthetic/PA/exp/V5kD2L8exp.edge,,,,,,,Speed-up (exp),Speed-up (norm),Speed-up (uni),,Difficulty (exp),Difficulty (norm),Difficulty (uni),,,Speed-up (D3),Speed-up (D4),Speed-up (D5),,,,,
(65,250),7.56,3576,3576,,,10.48,3.55,3.08,,3641,3291,2984,,,8.46,7.26,7.45,,,22052,23748,24421
(3997,159),7.77,3671,3671,,,10.53,3.55,3.09,,3642,3291,2984,,,8.47,7.31,7.48,,,22052,23748,24421
(3474,235),9.06,3601,3601,,,10.57,3.65,3.17,,3642,3291,2984,,,8.5,7.37,7.49,,,22052,23761,24421
(821,159),6.25,3671,3671,,,10.72,3.65,3.22,,3643,3295,2984,,,8.63,7.4,7.55,,,22052,23761,24433
(4034,221),7.49,3619,3619,,,10.83,3.67,3.24,,3645,3295,2984,,,8.72,7.43,7.56,,,22053,23761,24433
(4628,231),9.04,3647,3647,,,10.83,3.69,3.25,,3647,3295,2984,,,8.84,7.43,7.61,,,22053,23761,24433
(1850,245),6.36,3639,3639,,,10.84,3.81,3.26,,3649,3296,2984,,,9.04,7.45,7.65,,,22053,23761,24433
(4817,222),6.41,3603,3603,,,10.89,3.86,3.34,,3671,3296,2985,,,9.34,7.58,7.77,,,22053,23761,24433
(3905,189),10.97,3641,3641,,,10.92,3.91,3.35,,3671,3296,2985,,,9.44,7.65,7.97,,,22053,23761,24433
(70,221),9.61,3618,3618,,,10.97,4.04,3.37,,3671,3296,2986,,,10.15,7.71,7.99,,,22053,23761,24438
(4455,222),8.62,3603,3603,,,10.97,4.23,3.42,,3671,3331,2987,,,10.31,7.76,8.38,,,22054,23761,24438
(529,252),7.31,3563,3563,,,10.98,4.4,3.47,,3672,3333,3023,,,10.5,8.03,9.1,,,22054,23761,24438
(1624,222),6.4,3604,3604,,,11.36,4.44,3.47,,3672,3364,3024,,,10.53,8.08,9.17,,,22104,23787,24442
(902,175),7.28,3637,3637,,,11.37,4.52,3.5,,3673,3364,3033,,,10.68,8.2,9.22,,,22104,23789,24455
(2217,222),8.62,3603,3603,,,11.46,4.6,3.5,,3673,3365,3033,,,10.83,8.4,10.67,,,22109,23792,24455
(4067,175),7.06,3637,3637,,,11.51,4.72,3.58,,3674,3366,3033,,,10.97,8.68,11.18,,,22109,23792,24455
(4366,250),9.24,3577,3577,,,12.08,5.25,3.64,,3678,3447,3033,,,11.67,14.75,14.8,,,22109,23811,24455
(4626,190),7.88,3624,3624,,,12.3,5.33,3.79,,3679,3449,3036,,,15.6,17.09,18.16,,,22109,23811,24455
(4641,249),7.42,3596,3596,,,,,,,,,,,,,,,,,,,
(2746,235),7.97,3602,3602,,,,,,,,,,,,,,,,,,,
(1761,221),6.36,3618,3618,,,,,,,,,,,,,,,,,,,
(3194,243),7,3628,3628,,,,,,,,,,,,,,,,,,,
(3133,235),6.51,3601,3601,,,,,,,,,,,,,,,,,,,
(3138,219),6.79,3617,3617,,,,,,,,,,,,,,,,,,,
(4964,215),6.19,3673,3673,,,,,,,,,,,,,,,,,,,
(3569,221),5.78,3618,3618,,,,,,,,,,,,,,,,,,,
(256,221),8.66,3620,3620,,,,,,,,,,,,,,,,,,,
(3866,207),9.13,3639,3639,,,,,,,,,,,,,,,,,,,
(549,243),9.46,3628,3628,,,,,,,,,,,,,,,,,,,
(3638,190),7.52,3623,3623,,,,,,,,,,,,,,,,,,,
(4921,222),6.41,3604,3604,,,,,,,,,,,,,,,,,,,
(4009,245),6.85,3641,3641,,,,,,,,,,,,,,,,,,,
(179,238),6.9,3568,3568,,,,,,,,,,,,,,,,,,,
(601,235),8.97,3600,3600,,,,,,,,,,,,,,,,,,,
(1735,237),10.72,3595,3595,,,,,,,,,,,,,,,,,,,
(4845,219),5.92,3617,3617,,,,,,,,,,,,,,,,,,,
(4246,235),9.38,3601,3601,,,,,,,,,,,,,,,,,,,
(1211,222),8.35,3603,3603,,,,,,,,,,,,,,,,,,,
(4142,183),7.13,3678,3678,,,,,,,,,,,,,,,,,,,
(390,219),12.08,3617,3617,,,,,,,,,,,,,,,,,,,
(4067,221),9.08,3618,3618,,,,,,,,,,,,,,,,,,,
(1023,207),10.92,3639,3639,,,,,,,,,,,,,,,,,,,
(981,246),7.25,3604,3604,,,,,,,,,,,,,,,,,,,
(1929,190),7,3624,3624,,,,,,,,,,,,,,,,,,,
(1426,183),7.88,3679,3679,,,,,,,,,,,,,,,,,,,
(3813,246),11.51,3605,3605,,,,,,,,,,,,,,,,,,,
(4698,189),7.56,3643,3643,,,,,,,,,,,,,,,,,,,
(4284,215),10.53,3674,3674,,,,,,,,,,,,,,,,,,,
(3998,237),8.75,3597,3597,,,,,,,,,,,,,,,,,,,
(4919,207),9.98,3639,3639,,,,,,,,,,,,,,,,,,,
