DGraph fileName=experiments/graphs/synthetic/PA/exp/V5kD2L8exp.edge,,,,,,,Speed-up (exp),Speed-up (norm),Speed-up (uni),,Difficulty (exp),Difficulty (norm),Difficulty (uni),,,Speed-up (D3),Speed-up (D4),Speed-up (D5),,,,,
LandmarkedIndex2(o)-k=100-m=1-b=0::buildIndex (others) (o) i=4980 101.633% , ,roundNo=0,size(MB)=7107420,time(s)=0.210813,,,5.58,1.15,1.01,,3187,1363,1529,,,2.78,2.2,1.78,,,8455,12190,10378
LandmarkedIndex construction time=0.212421,,,,,,,5.58,1.15,1.01,,3187,1363,1531,,,3.28,2.21,1.81,,,20276,12564,10695
LandmarkedIndex size=7267372,isBlockedMode=0, noOfLandmarks=100 ,propagateCode=0,,,,5.64,1.19,1.02,,3187,1381,1535,,,4.77,2.27,1.87,,,20310,12571,10696
arr[i]=4,,,,,,,5.69,1.2,1.02,,3189,1405,1539,,,4.96,2.32,2.26,,,20310,12609,10915
(24,225),6.8,3192,3192,,,5.7,1.21,1.04,,3190,1405,1540,,,4.97,2.32,2.48,,,20337,12609,14946
(1055,210),6.19,3193,3193,,,5.7,1.21,1.06,,3190,1405,1541,,,4.98,2.39,2.48,,,20390,12953,14947
(1266,232),6.35,3130,3130,,,5.71,1.22,1.07,,3190,1405,1544,,,5,2.5,2.53,,,20391,12954,14948
(4897,169),4.67,3201,3201,,,5.71,1.23,1.08,,3190,1410,1546,,,5.02,2.63,2.6,,,20393,12954,15228
(2801,226),5.73,3173,3173,,,5.72,1.27,1.08,,3191,1461,1549,,,5.03,2.75,2.62,,,20393,12963,15228
(2067,142),3.54,3247,3247,,,5.72,1.27,1.08,,3192,1468,1550,,,5.09,2.83,2.69,,,20393,12964,15255
(313,147),5.35,3262,3262,,,5.73,1.27,1.08,,3192,1468,1550,,,5.1,2.93,2.7,,,20401,12964,15486
(4056,166),5.49,3231,3231,,,5.77,1.27,1.09,,3193,1468,1552,,,5.12,3.09,2.73,,,20404,12965,15487
(3173,154),6.13,3196,3196,,,5.78,1.28,1.1,,3193,1469,1552,,,5.15,4.25,2.73,,,20404,22661,15622
(1164,169),4.77,3202,3202,,,5.78,1.28,1.1,,3193,1471,1554,,,5.24,4.57,2.77,,,20430,22661,15622
(2614,147),5.58,3262,3262,,,5.79,1.29,1.11,,3194,1476,1555,,,5.25,4.63,2.92,,,20455,22661,15623
(3496,201),5.79,3196,3196,,,5.86,1.31,1.12,,3196,1503,1560,,,5.26,4.64,3.13,,,20456,22712,15623
(4997,169),4.64,3201,3201,,,5.86,1.31,1.13,,3196,1508,1561,,,5.27,4.87,3.38,,,20488,22712,15818
