10_000_000.
number of methods: 3
number of query sets: 3
number of queries in each true or false: 100
DGraph fileName=./experiments/graphs/synthetic/PA/exp/V1kD2L12exp.edge
DGraph |V|=1000,|E|=1997,|L|=12
DGraph size(byte)=31952, time(s)=0.000287056
dataset: ./experiments/graphs/synthetic/PA/exp/V1kD2L12exp.edge with |L|=12 and |V|=1000
method i=0
runTestsPerIndex index=BFSBFS has index size (byte): 31952
BFS required index construction time (s): 0.000287066
Method: BFS queryset: 0
Query 0: (2,0,00000000000000000001100000000001, true), avg=0.00001060962
Query 1: (2,8,00000000000000000000100000000011, true), avg=0.00000882148
Query 2: (4,0,00000000000000000000100001000010, true), avg=0.00000908374
Query 3: (4,0,00000000000000000000110010000000, true), avg=0.00000829696
Query 4: (4,0,00000000000000000001100000100000, true), avg=0.00000789165
Query 5: (4,5,00000000000000000000100010000010, true), avg=0.00001430511
Query 6: (4,5,00000000000000000000100100000100, true), avg=0.00001380443
Query 7: (40,3,00000000000000000000100000010100, true), avg=0.00000541210
Query 8: (40,5,00000000000000000000100001100000, true), avg=0.00000481605
Query 9: (40,5,00000000000000000000100010000100, true), avg=0.00000691413
Query 10: (40,6,00000000000000000000101000000100, true), avg=0.00001821517
Query 11: (40,6,00000000000000000000101000001000, true), avg=0.00001718997
Query 12: (40,8,00000000000000000000111000000000, true), avg=0.00001168251
Query 13: (40,10,00000000000000000000100101000000, true), avg=0.00002410411
Query 14: (40,11,00000000000000000001100000100000, true), avg=0.00001537799
Query 15: (40,13,00000000000000000000100010010000, true), avg=0.00000269412
Query 16: (40,13,00000000000000000000101000010000, true), avg=0.00000269412
Query 17: (40,14,00000000000000000000100000001001, true), avg=0.00001630783
Query 18: (40,14,00000000000000000001100000001000, true), avg=0.00001339912
Query 19: (40,15,00000000000000000000100000000101, true), avg=0.00002689361
Query 20: (40,15,00000000000000000000100000001100, true), avg=0.00002429485
Query 21: (40,15,00000000000000000000100010000010, true), avg=0.00002558231
Query 22: (40,17,00000000000000000000101000000100, true), avg=0.00000720024
Query 23: (40,18,00000000000000000000100000000011, true), avg=0.00000789165
Query 24: (40,19,00000000000000000000100010001000, true), avg=0.00002329349
Query 25: (40,22,00000000000000000000110000100000, true), avg=0.00000388622
Query 26: (40,23,00000000000000000001100000000001, true), avg=0.00000820159
Query 27: (40,25,00000000000000000001101000000000, true), avg=0.00001120567
Query 28: (40,26,00000000000000000000100010100000, true), avg=0.00001499652
Query 29: (67,5,00000000000000000000110001000000, true), avg=0.00001158714
Query 30: (67,7,00000000000000000000100010100000, true), avg=0.00000221729
Query 31: (67,7,00000000000000000001100000001000, true), avg=0.00000219345
Query 32: (67,8,00000000000000000000100010010000, true), avg=0.00000309944
Query 33: (106,5,00000000000000000000101000000010, true), avg=0.00001080036
Query 34: (106,5,00000000000000000001101000000000, true), avg=0.00001342296
Query 35: (106,7,00000000000000000001100000000010, true), avg=0.00000259876
Query 36: (124,0,00000000000000000000100010100000, true), avg=0.00000841617
Query 37: (124,1,00000000000000000000100000001001, true), avg=0.00000250339
Query 38: (124,1,00000000000000000000100000010100, true), avg=0.00000219345
Query 39: (228,11,00000000000000000001100000000010, true), avg=0.00001459121
Query 40: (228,14,00000000000000000001100000000010, true), avg=0.00000936985
Query 41: (228,18,00000000000000000000100000010010, true), avg=0.00001180171
Query 42: (228,18,00000000000000000000100100000010, true), avg=0.00001249313
Query 43: (228,26,00000000000000000000110000000010, true), avg=0.00000660419
Query 44: (330,6,00000000000000000000100100000100, true), avg=0.00002429485
