method name, index construction time (s), index size (MB),,,,,,,,,
BFS,1.09,81.68,,,,,,,,,
LandmarkedIndex12(oe)-k=3502-m=1-b=20,8_351.06,53_923.01,,,,,,,,,
LandmarkedIndex12(oe)-k=3502-m=1-b=40,8_347.77,53_919.79,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
BFS_queryset-0,BFS_queryset-1,BFS_queryset-2,LandmarkedIndex12(oe)-k=3502-m=1-b=20_queryset-0,LandmarkedIndex12(oe)-k=3502-m=1-b=20_queryset-1,LandmarkedIndex12(oe)-k=3502-m=1-b=20_queryset-2,LandmarkedIndex12(oe)-k=3502-m=1-b=40_queryset-0,LandmarkedIndex12(oe)-k=3502-m=1-b=40_queryset-1,LandmarkedIndex12(oe)-k=3502-m=1-b=40_queryset-2,,,
0.0696340402,0.0052833557,0.0287600358,5.64257E-006,3.89417E-006,3.97364E-006,5.96046E-006,4.68889E-006,4.68889E-006,,,
0.0607293447,0.0067842801,0.0198677381,5.64257E-006,0.000004371,3.97364E-006,5.00679E-006,4.68889E-006,0.000004371,,,
0.0036649704,0.0142665704,0.0079960028,5.96046E-006,4.68889E-006,3.97364E-006,5.96046E-006,4.68889E-006,4.05311E-006,,,
0.0136946837,0.0105199814,0.0070586205,5.64257E-006,4.68889E-006,3.89417E-006,5.96046E-006,3.97364E-006,3.97364E-006,,,
0.0106072426,0.0159023603,0.0254366398,5.96046E-006,5.00679E-006,3.97364E-006,5.32468E-006,0.00000453,3.97364E-006,,,
0.0051043828,0.0080446402,0.0670800209,5.64257E-006,5.00679E-006,3.97364E-006,5.64257E-006,3.81469E-006,3.97364E-006,,,
0.003522714,0.011329333,0.0393259525,5.64257E-006,4.29153E-006,4.05311E-006,5.64257E-006,3.97364E-006,0.000004371,,,
0.0382862886,0.0096383095,0.045965751,5.64257E-006,4.68889E-006,4.05311E-006,5.96046E-006,4.68889E-006,4.05311E-006,,,
0.0383936564,0.010636727,0.0262906551,5.96046E-006,4.29153E-006,4.05311E-006,5.96046E-006,5.00679E-006,4.05311E-006,,,
0.0334952672,0.0420754751,0.0402972698,4.05311E-006,4.05311E-006,4.05311E-006,3.89417E-006,4.05311E-006,3.97364E-006,,,
0.0541960398,0.0412873427,0.0687152545,4.29153E-006,4.05311E-006,4.05311E-006,0.000004371,3.97364E-006,4.05311E-006,,,
0.0313829581,0.0387590726,0.0481223265,4.68889E-006,4.21206E-006,3.97364E-006,4.29153E-006,0.000004371,4.05311E-006,,,
0.0525176525,0.0312712193,0.0127517382,4.29153E-006,0.000004371,4.29153E-006,4.05311E-006,0.000004371,4.21206E-006,,,
0.0540849368,0.0243602594,0.0197933515,0.000004371,3.97364E-006,3.97364E-006,3.97364E-006,4.29153E-006,0.000004371,,,
0.0550084114,0.0099369685,0.020454963,4.60942E-006,4.21206E-006,3.97364E-006,4.05311E-006,4.68889E-006,0.000004371,,,
0.049421231,0.0074140231,0.0109336376,4.68889E-006,3.97364E-006,3.97364E-006,4.21206E-006,4.05311E-006,3.89417E-006,,,
0.0417780876,0.0488166014,0.0086882909,4.60942E-006,0.000004371,3.89417E-006,4.05311E-006,4.68889E-006,4.21206E-006,,,
0.0302646955,0.0168779691,0.0021123091,0.000004371,3.97364E-006,3.97364E-006,3.89417E-006,4.05311E-006,4.05311E-006,,,
0.0510495504,0.0356550217,0.0020822684,4.29153E-006,4.60942E-006,3.97364E-006,4.05311E-006,0.000004371,4.29153E-006,,,
0.0301802953,0.053846995,0.0018093586,4.68889E-006,4.68889E-006,4.05311E-006,3.89417E-006,4.05311E-006,4.05311E-006,,,
0.0517908732,0.0485413074,0.0378573736,4.29153E-006,3.97364E-006,4.05311E-006,4.05311E-006,4.05311E-006,4.05311E-006,,,
0.0555287202,0.0525360107,0.0017182827,4.29153E-006,0.000004371,3.97364E-006,4.05311E-006,0.000004371,3.89417E-006,,,
0.0419227282,0.0499946276,0.0379767418,0.000004371,3.97364E-006,3.97364E-006,3.89417E-006,4.05311E-006,4.05311E-006,,,
0.0516169866,0.0479470094,0.0017153422,4.29153E-006,3.97364E-006,3.97364E-006,4.05311E-006,3.89417E-006,3.89417E-006,,,
0.067937692,0.0321240425,0.0088675817,0.000004371,3.89417E-006,4.05311E-006,3.97364E-006,3.89417E-006,3.89417E-006,,,
0.0167380174,0.0247462591,0.0088590781,5.00679E-006,3.97364E-006,4.05311E-006,5.32468E-006,3.97364E-006,0.000004371,,,
0.0184306304,0.026417017,0.0139048894,5.32468E-006,3.97364E-006,4.05311E-006,6.59624E-006,3.89417E-006,3.89417E-006,,,
0.0414007505,0.0452726682,0.0405890147,5.64257E-006,3.97364E-006,4.05311E-006,5.96046E-006,3.97364E-006,3.97364E-006,,,
0.0417420069,0.0406916142,0.0234763622,5.64257E-006,4.05311E-006,3.97364E-006,6.27835E-006,4.05311E-006,3.97364E-006,,,
0.0371890068,0.0453609625,0.0017770131,5.64257E-006,3.97364E-006,3.97364E-006,6.59624E-006,4.29153E-006,4.05311E-006,,,
0.0443987052,0.0108913581,0.0017186801,5.64257E-006,3.97364E-006,3.97364E-006,6.35782E-006,4.05311E-006,3.97364E-006,,,
0.0333627065,0.0461320877,0.0017827352,5.00679E-006,3.97364E-006,3.97364E-006,5.00679E-006,4.05311E-006,4.05311E-006,,,
0.0066769918,0.0448137124,0.0146113237,4.29153E-006,3.97364E-006,3.97364E-006,0.000004371,4.05311E-006,3.89417E-006,,,
0.0236420631,0.0683440367,0.0200943152,4.68889E-006,4.29153E-006,3.97364E-006,3.89417E-006,3.97364E-006,0.000004371,,,
0.0236886342,0.0598126252,0.0037840207,3.97364E-006,3.97364E-006,3.97364E-006,3.97364E-006,3.81469E-006,3.89417E-006,,,
0.0253183047,0.0530237357,0.0088126659,4.68889E-006,3.97364E-006,4.05311E-006,4.05311E-006,4.05311E-006,3.97364E-006,,,
0.0243490537,0.0532010396,0.0022726854,4.29153E-006,3.97364E-006,4.05311E-006,3.89417E-006,4.05311E-006,3.81469E-006,,,
0.0321914355,0.0640903314,0.001837333,0.000004371,3.97364E-006,4.05311E-006,3.97364E-006,3.89417E-006,3.97364E-006,,,
0.0166002909,0.0651183923,0.0020519892,4.68889E-006,4.05311E-006,3.97364E-006,4.05311E-006,4.05311E-006,3.81469E-006,,,
0.0198510488,0.067158699,0.002051274,4.68889E-006,4.05311E-006,3.89417E-006,4.05311E-006,3.97364E-006,4.29153E-006,,,
0.0364976724,0.0623431206,0.0016313394,4.29153E-006,4.05311E-006,3.97364E-006,0.000004371,4.05311E-006,4.05311E-006,,,
0.0045596759,0.0042669773,0.0017823378,0.000004371,5.00679E-006,3.97364E-006,0.000004371,5.00679E-006,4.29153E-006,,,
0.0043929418,0.0037829876,0.0021545887,3.89417E-006,5.00679E-006,3.89417E-006,4.29153E-006,6.03993E-006,3.89417E-006,,,
0.0380595525,0.0048823357,0.00187699,0.000004371,3.97364E-006,3.97364E-006,4.29153E-006,3.89417E-006,4.05311E-006,,,
0.0304903189,0.0348334312,0.0016797384,4.29153E-006,3.97364E-006,3.97364E-006,4.05311E-006,3.97364E-006,4.05311E-006,,,
0.011732022,0.0015070438,0.0020513535,4.29153E-006,5.00679E-006,3.97364E-006,4.05311E-006,0.000005722,4.05311E-006,,,
0.0453204314,0.0247243245,0.0347416401,0.000004371,3.97364E-006,3.97364E-006,3.89417E-006,4.05311E-006,3.97364E-006,,,
0.047362407,0.0015439192,0.0020539761,4.29153E-006,0.000004371,3.97364E-006,4.29153E-006,5.00679E-006,4.05311E-006,,,
0.0108389854,0.0101288954,0.0089345773,4.68889E-006,5.00679E-006,3.97364E-006,4.05311E-006,5.64257E-006,3.97364E-006,,,
0.0372973283,0.0112956365,0.0093639692,4.29153E-006,5.00679E-006,3.97364E-006,3.89417E-006,5.64257E-006,3.97364E-006,,,
0.0278579394,0.0097803275,0.0018726985,4.05311E-006,4.05311E-006,4.05311E-006,3.97364E-006,5.00679E-006,4.05311E-006,,,
0.0119313399,0.0180117289,0.0186692874,3.89417E-006,3.97364E-006,1.271565E-005,3.97364E-006,3.97364E-006,1.494089E-005,,,
0.0134162903,0.0041086674,0.0093023777,0.000004371,3.97364E-006,3.97364E-006,4.05311E-006,4.29153E-006,3.97364E-006,,,
0.0081583659,0.0045805772,0.0028066635,4.68889E-006,3.97364E-006,3.97364E-006,4.29153E-006,3.97364E-006,0.000004371,,,
0.0449302991,0.0394276778,0.001938343,4.29153E-006,3.97364E-006,9.69568E-006,3.97364E-006,4.29153E-006,1.20004E-005,,,
0.0293704669,0.0140956243,0.0014310678,0.000004371,3.97364E-006,8.98043E-006,3.97364E-006,4.29153E-006,1.001358E-005,,,
0.0042366982,0.0260806084,0.0019554297,3.89417E-006,3.97364E-006,9.29832E-006,4.05311E-006,3.97364E-006,1.064936E-005,,,
0.0269379616,0.0364760558,0.0081593196,0.000004371,3.97364E-006,0.000004371,4.29153E-006,4.29153E-006,4.05311E-006,,,
0.0225622654,0.0316166878,0.0081796646,3.89417E-006,4.05311E-006,3.97364E-006,4.05311E-006,4.05311E-006,4.05311E-006,,,
0.0290332635,0.0425270398,0.0041389465,5.64257E-006,3.97364E-006,4.05311E-006,5.64257E-006,0.000004371,3.97364E-006,,,
0.0348746777,0.0496719678,0.0037439664,5.64257E-006,4.05311E-006,8.98043E-006,5.32468E-006,3.97364E-006,1.064936E-005,,,
0.0105496248,0.0201133092,0.0045809746,5.32468E-006,4.60942E-006,8.66254E-006,5.64257E-006,5.00679E-006,1.064936E-005,,,
0.0123270353,0.0365917683,0.0265862942,0.000004371,4.68889E-006,0.000004371,3.97364E-006,5.00679E-006,4.05311E-006,,,
0.0341455936,0.049473683,0.0071546237,5.96046E-006,4.60942E-006,1.438458E-005,5.96046E-006,5.00679E-006,1.128514E-005,,,
0.0483486652,0.0636486212,0.0296706359,5.64257E-006,4.05311E-006,0.000004371,5.00679E-006,4.21206E-006,4.05311E-006,,,
0.0312789281,0.0500284036,0.004724582,0.000004371,4.68889E-006,9.0599E-006,0.000004371,5.00679E-006,9.9341E-006,,,
0.0575885773,0.0510460536,0.0064040025,5.32468E-006,0.000004371,9.29832E-006,5.96046E-006,5.00679E-006,1.033147E-005,,,
0.050510327,0.049507618,0.0085626443,5.32468E-006,4.29153E-006,4.29153E-006,5.32468E-006,5.00679E-006,0.000004371,,,
0.0273743471,0.0440320174,0.0023870468,5.64257E-006,4.68889E-006,3.97364E-006,5.96046E-006,5.00679E-006,3.97364E-006,,,
0.0103113651,0.0153843562,0.0041623116,5.32468E-006,4.68889E-006,3.97364E-006,5.64257E-006,5.00679E-006,3.89417E-006,,,
0.0096820196,0.023358345,0.0108262698,5.32468E-006,4.05311E-006,4.05311E-006,5.00679E-006,3.97364E-006,3.97364E-006,,,
0.0216499964,0.0347195466,0.0020246506,5.32468E-006,3.97364E-006,4.05311E-006,5.64257E-006,4.05311E-006,4.05311E-006,,,
0.0425283114,0.0248720646,0.0019056002,5.64257E-006,4.29153E-006,1.001358E-005,5.32468E-006,3.97364E-006,1.255671E-005,,,
0.0286636353,0.0312863986,0.0062176387,5.32468E-006,0.000004371,1.033147E-005,5.32468E-006,5.00679E-006,1.168251E-005,,,
0.0287490686,0.0452603499,0.0099673271,5.64257E-006,4.60942E-006,0.000004371,5.00679E-006,4.68889E-006,4.05311E-006,,,
0.0282786687,0.0301962694,0.0086503029,5.64257E-006,4.68889E-006,4.05311E-006,5.64257E-006,5.00679E-006,4.05311E-006,,,
0.0465700626,0.0247953733,0.0088792642,5.32468E-006,4.60942E-006,4.05311E-006,5.00679E-006,5.00679E-006,0.000004371,,,
0.030977567,0.0399896304,0.0083084106,4.29153E-006,0.000004371,3.97364E-006,4.05311E-006,5.00679E-006,3.89417E-006,,,
0.0452005863,0.0330880483,0.0039973259,5.64257E-006,3.97364E-006,3.97364E-006,5.64257E-006,3.97364E-006,4.05311E-006,,,
0.0288586617,0.0502510866,0.0072849592,5.32468E-006,4.05311E-006,3.97364E-006,5.64257E-006,4.21206E-006,3.89417E-006,,,
0.03936553,0.0516490142,0.0061823527,5.00679E-006,4.68889E-006,1.096725E-005,5.64257E-006,5.00679E-006,1.231829E-005,,,
0.0644913514,0.0257900556,0.017311732,5.32468E-006,4.21206E-006,3.97364E-006,5.00679E-006,5.32468E-006,3.89417E-006,,,
0.0504813194,0.0426770846,0.0218119621,4.29153E-006,0.000004371,4.05311E-006,4.05311E-006,5.00679E-006,3.97364E-006,,,
0.0458400249,0.0563323498,0.0207194487,5.32468E-006,3.89417E-006,4.05311E-006,5.96046E-006,3.89417E-006,4.05311E-006,,,
0.063855648,0.0572632949,0.0210087299,5.00679E-006,4.68889E-006,4.05311E-006,5.64257E-006,5.00679E-006,4.05311E-006,,,
0.0288747152,0.032851855,0.019707044,5.32468E-006,4.60942E-006,5.00679E-006,5.64257E-006,5.00679E-006,5.00679E-006,,,
0.0612004598,0.0292259852,0.0148216089,5.64257E-006,4.68889E-006,4.21206E-006,5.64257E-006,5.00679E-006,5.00679E-006,,,
0.0445540746,0.0267940362,0.0203446547,5.32468E-006,4.29153E-006,3.97364E-006,5.96046E-006,5.00679E-006,4.05311E-006,,,
0.0291223526,0.0474950473,0.0147096316,5.32468E-006,4.29153E-006,3.97364E-006,5.32468E-006,4.05311E-006,4.05311E-006,,,
0.0450530052,0.0062103271,0.0239116351,5.64257E-006,4.68889E-006,3.97364E-006,5.64257E-006,4.92731E-006,3.97364E-006,,,
0.045114994,0.0132083098,0.0410286585,5.96046E-006,3.97364E-006,3.97364E-006,6.03993E-006,3.97364E-006,0.000004371,,,
0.04540205,0.0471657117,0.021882693,5.64257E-006,0.000004371,4.05311E-006,5.00679E-006,5.00679E-006,4.05311E-006,,,
0.0535693169,0.0563236872,0.0268356005,5.00679E-006,3.89417E-006,4.05311E-006,5.64257E-006,4.05311E-006,3.97364E-006,,,
0.0714503129,0.039182663,0.0304706891,5.00679E-006,0.000004371,3.97364E-006,5.64257E-006,4.29153E-006,4.29153E-006,,,
0.0644700527,0.0685119629,0.0207623641,5.64257E-006,4.68889E-006,3.97364E-006,5.64257E-006,5.00679E-006,4.05311E-006,,,
0.0011036396,0.0355697473,0.0207027594,4.92731E-006,0.000004371,3.89417E-006,5.96046E-006,5.00679E-006,3.97364E-006,,,
0.0346827507,0.048160394,0.0126794179,5.96046E-006,4.05311E-006,4.92731E-006,5.96046E-006,3.97364E-006,5.00679E-006,,,
0.0468323231,0.0692873796,0.020112594,5.64257E-006,4.21206E-006,3.97364E-006,5.64257E-006,4.68889E-006,4.29153E-006,,,
0.0290913582,0.0209277471,0.013026317,5.32468E-006,3.97364E-006,4.05311E-006,5.64257E-006,4.05311E-006,3.97364E-006,,,
0.0457039674,0.0378837585,0.028777043,5.00679E-006,4.05311E-006,4.05311E-006,5.96046E-006,4.29153E-006,4.60942E-006,,,
0.0327672958,0.0587903659,0.0185653369,5.64257E-006,4.68889E-006,4.05311E-006,5.96046E-006,4.60942E-006,3.97364E-006,,,
0.0778222879,0.0334499677,0.0374964873,5.00679E-006,0.000004371,3.97364E-006,5.96046E-006,5.00679E-006,4.05311E-006,,,
0.0068957011,0.0613806248,0.0320096016,5.00679E-006,4.05311E-006,3.97364E-006,5.32468E-006,4.05311E-006,0.000004371,,,
0.0084062417,0.0656469663,0.0375403563,4.68889E-006,4.29153E-006,3.97364E-006,5.00679E-006,5.32468E-006,3.97364E-006,,,
0.0080026786,0.0628153483,0.0326386293,5.00679E-006,0.000004371,3.97364E-006,4.68889E-006,5.00679E-006,3.97364E-006,,,
0.0097084045,0.0566513538,0.0322462718,5.00679E-006,4.60942E-006,3.97364E-006,4.21206E-006,5.00679E-006,3.89417E-006,,,
0.0068747203,0.0497210026,0.0377460321,5.00679E-006,0.000004371,3.97364E-006,4.68889E-006,4.68889E-006,3.97364E-006,,,
0.0369239648,0.0479419231,0.0363263289,9.37779E-006,4.60942E-006,3.97364E-006,1.502037E-005,5.00679E-006,3.97364E-006,,,
0.009882609,0.0630466143,0.0279248556,8.98043E-006,4.05311E-006,4.68889E-006,1.263618E-005,4.29153E-006,4.92731E-006,,,
0.0189463298,0.063287576,0.0191862583,8.66254E-006,4.05311E-006,3.97364E-006,1.263618E-005,4.21206E-006,4.21206E-006,,,
0.0174836318,0.0505800247,0.0209790071,8.98043E-006,4.21206E-006,4.05311E-006,1.096725E-005,5.00679E-006,4.05311E-006,,,
0.0019489924,0.0424098969,0.0202620824,8.98043E-006,4.68889E-006,4.60942E-006,1.128514E-005,5.00679E-006,5.00679E-006,,,
0.0536440214,0.0101072788,0.0134980679,8.98043E-006,4.29153E-006,3.97364E-006,0.000011603,3.97364E-006,4.05311E-006,,,
0.0242285728,0.0729777018,0.0382200082,8.98043E-006,3.97364E-006,4.05311E-006,1.104672E-005,3.89417E-006,4.29153E-006,,,
0.0434894562,0.0421086947,0.0190556049,8.66254E-006,3.97364E-006,4.05311E-006,8.98043E-006,4.05311E-006,3.97364E-006,,,
0.0100855827,0.057338953,0.0170756181,9.69568E-006,4.68889E-006,4.05311E-006,1.001358E-005,4.68889E-006,4.05311E-006,,,
0.0191106002,0.0664710204,0.0189046065,8.98043E-006,4.60942E-006,4.05311E-006,8.98043E-006,5.00679E-006,3.97364E-006,,,
0.0019493103,0.0342861017,0.0314033031,8.98043E-006,0.000004371,4.05311E-006,9.29832E-006,5.00679E-006,3.81469E-006,,,
0.0019489924,0.0421579679,0.0209666888,8.66254E-006,3.97364E-006,4.05311E-006,8.98043E-006,3.97364E-006,4.05311E-006,,,
0.0126636823,0.042179664,0.0223952929,8.66254E-006,3.97364E-006,5.00679E-006,9.29832E-006,4.05311E-006,5.00679E-006,,,
0.0356547832,0.0623030663,0.0193950335,3.89417E-006,3.97364E-006,4.68889E-006,3.97364E-006,3.89417E-006,5.64257E-006,,,
0.022143364,0.0605320136,0.0118979613,0.000004371,3.97364E-006,4.68889E-006,0.000004371,4.68889E-006,5.2452E-006,,,
0.0245606105,0.0328667164,0.0124496619,0.000004371,0.000004371,4.60942E-006,3.97364E-006,4.60942E-006,5.00679E-006,,,
0.0215432644,0.0507802963,0.0157382488,4.68889E-006,4.68889E-006,3.97364E-006,3.89417E-006,5.00679E-006,3.97364E-006,,,
0.0169387658,0.0388157368,0.0136173566,3.97364E-006,3.97364E-006,3.97364E-006,3.97364E-006,3.97364E-006,0.000004371,,,
0.0324462255,0.0292087396,0.0340647697,0.000004371,4.60942E-006,4.05311E-006,3.81469E-006,5.00679E-006,3.97364E-006,,,
0.0371266206,0.0652019978,0.0232043266,4.05311E-006,4.05311E-006,4.60942E-006,4.29153E-006,4.29153E-006,4.92731E-006,,,
0.0077733199,0.0241723855,0.0048216979,4.29153E-006,4.05311E-006,3.97364E-006,4.05311E-006,3.89417E-006,3.89417E-006,,,
0.0512186686,0.0684426626,0.0043179989,4.68889E-006,3.89417E-006,4.05311E-006,4.05311E-006,3.97364E-006,4.05311E-006,,,
0.0196784337,0.0490843455,0.0434203148,4.29153E-006,3.97364E-006,4.05311E-006,3.97364E-006,4.05311E-006,4.05311E-006,,,
0.0268026988,0.0294260184,0.0304927031,4.68889E-006,4.68889E-006,4.05311E-006,4.05311E-006,5.00679E-006,4.05311E-006,,,
0.0430570443,0.0584139824,0.0415796439,0.000004371,4.60942E-006,4.05311E-006,4.60942E-006,4.21206E-006,4.05311E-006,,,
0.0430707137,0.02176706,0.0050799847,5.00679E-006,4.68889E-006,3.89417E-006,3.89417E-006,4.92731E-006,3.89417E-006,,,
0.008408308,0.0755176544,0.009449323,3.81469E-006,4.68889E-006,4.92731E-006,5.00679E-006,5.00679E-006,4.92731E-006,,,
0.0329026381,0.0696607431,0.0162099997,4.92731E-006,4.68889E-006,3.97364E-006,5.00679E-006,4.92731E-006,4.29153E-006,,,
0.0250253677,0.068961064,0.008427302,5.00679E-006,4.68889E-006,4.05311E-006,4.68889E-006,5.00679E-006,3.97364E-006,,,
0.0229710738,0.0662945906,0.0153934956,5.00679E-006,0.000004371,4.60942E-006,4.68889E-006,5.00679E-006,5.00679E-006,,,
0.0212426186,0.0685789585,0.0085159938,5.00679E-006,4.68889E-006,0.000004371,4.68889E-006,5.00679E-006,5.00679E-006,,,
