10_000_000.
number of methods: 3
number of query sets: 3
number of queries in each true or false: 1000
DGraph fileName=./experiments/graphs/synthetic/PA/exp/V25kD4L8exp.edge
DGraph |V|=25000,|E|=99990,|L|=8
DGraph size(byte)=1599840, time(s)=0.014322
dataset: ./experiments/graphs/synthetic/PA/exp/V25kD4L8exp.edge with |L|=8 and |V|=25000
method i=0
runTestsPerIndex index=BFSBFS has index size (byte): 1599840
BFS required index construction time (s): 0.0143221
Method: BFS queryset: 0
*Query 0: (141,0,00000000000000000000000000010001, true), avg=0.00005936622
*Query 1: (141,0,00000000000000000000000000010010, true), avg=0.00000691413
*Query 2: (141,1,00000000000000000000000001000010, true), avg=0.00002034505
*Query 3: (141,1,00000000000000000000000010100000, true), avg=0.00001462300
*Query 4: (141,2,00000000000000000000000000100001, true), avg=0.00001533826
*Query 5: (141,2,00000000000000000000000010000001, true), avg=0.00003099441
*Query 6: (141,2,00000000000000000000000010000010, true), avg=0.00008598963
*Query 7: (141,2,00000000000000000000000010000100, true), avg=0.00002066294
*Query 8: (141,2,00000000000000000000000110000000, true), avg=0.00009894371
*Query 9: (141,3,00000000000000000000000000000101, true), avg=0.00003067652
*Query 10: (141,3,00000000000000000000000000001001, true), avg=0.00004871686
*Query 11: (141,3,00000000000000000000000000010010, true), avg=0.00002964337
*Query 12: (141,3,00000000000000000000000010001000, true), avg=0.00002900759
*Query 13: (141,4,00000000000000000000000000100001, true), avg=0.00007136662
*Query 14: (141,4,00000000000000000000000010000001, true), avg=0.00014932950
*Query 15: (141,4,00000000000000000000000011000000, true), avg=0.00003401438
*Query 16: (141,5,00000000000000000000000010001000, true), avg=0.00009131431
*Query 17: (141,5,00000000000000000000000110000000, true), avg=0.00008098284
*Query 18: (141,6,00000000000000000000000001000010, true), avg=0.00002805391
*Query 19: (141,6,00000000000000000000000010000001, true), avg=0.00018938382
*Query 20: (141,6,00000000000000000000000010000010, true), avg=0.00035127003
*Query 21: (141,6,00000000000000000000000010100000, true), avg=0.00034467379
*Query 22: (141,6,00000000000000000000000110000000, true), avg=0.00030867258
*Query 23: (141,7,00000000000000000000000000001001, true), avg=0.00006302197
*Query 24: (141,7,00000000000000000000000010000010, true), avg=0.00002233187
*Query 25: (141,7,00000000000000000000000010000100, true), avg=0.00001970926
*Query 26: (141,7,00000000000000000000000010010000, true), avg=0.00001955032
*Query 27: (141,7,00000000000000000000000011000000, true), avg=0.00001867612
*Query 28: (184,4,00000000000000000000000010000001, true), avg=0.00016172726
*Query 29: (184,5,00000000000000000000000110000000, true), avg=0.00017571449
*Query 30: (184,11,00000000000000000000000000001001, true), avg=0.00005269050
*Query 31: (184,11,00000000000000000000000010000001, true), avg=0.00024000803
*Query 32: (184,11,00000000000000000000000010000010, true), avg=0.00021402041
*Query 33: (184,12,00000000000000000000000010001000, true), avg=0.00024398167
*Query 34: (184,12,00000000000000000000000011000000, true), avg=0.00009202957
*Query 35: (184,13,00000000000000000000000010001000, true), avg=0.00027362505
*Query 36: (184,13,00000000000000000000000010100000, true), avg=0.00016832351
*Query 37: (184,15,00000000000000000000000000101000, true), avg=0.00004569689
*Query 38: (184,15,00000000000000000000000010000010, true), avg=0.00008098284
*Query 39: (184,15,00000000000000000000000110000000, true), avg=0.00007406870
*Query 40: (184,16,00000000000000000000000010000100, true), avg=0.00006564458
*Query 41: (184,17,00000000000000000000000010000001, true), avg=0.00008805592
*Query 42: (184,17,00000000000000000000000010001000, true), avg=0.00011332829
*Query 43: (751,0,00000000000000000000000000000011, true), avg=0.00006469090
*Query 44: (751,0,00000000000000000000000010000100, true), avg=0.00017905235
*Query 45: (751,0,00000000000000000000000010010000, true), avg=0.00012302398
*Query 46: (751,1,00000000000000000000000011000000, true), avg=0.00011436144
*Query 47: (751,1,00000000000000000000000110000000, true), avg=0.00009632110
*Query 48: (751,5,00000000000000000000000000000011, true), avg=0.00005332628
*Query 49: (751,5,00000000000000000000000010000010, true), avg=0.00007732709
*Query 50: (751,5,00000000000000000000000010000100, true), avg=0.00009965896
*Query 51: (751,8,00000000000000000000000000000011, true), avg=0.00006302197
*Query 52: (751,8,00000000000000000000000010100000, true), avg=0.00009568532
*Query 53: (751,10,00000000000000000000000010000010, true), avg=0.00037169456
*Query 54: (751,10,00000000000000000000000011000000, true), avg=0.00036025047
*Query 55: (751,13,00000000000000000000000011000000, true), avg=0.00011467933
*Query 56: (751,14,00000000000000000000000010100000, true), avg=0.00017070770
*Query 57: (751,15,00000000000000000000000000100001, true), avg=0.00006906191
*Query 58: (751,15,00000000000000000000000010001000, true), avg=0.00014297167
*Query 59: (953,1,00000000000000000000000110000000, true), avg=0.00017468134
*Query 60: (953,17,00000000000000000000000011000000, true), avg=0.00017301241
