10_000_000.
number of methods: 3
number of query sets: 3
number of queries in each true or false: 100
DGraph fileName=./experiments/graphs/real/jmd/jmd.edge
DGraph |V|=486320,|E|=1049647,|L|=26
DGraph size(byte)=16794320, time(s)=1.62196
dataset: ./experiments/graphs/real/jmd/jmd.edge with |L|=26 and |V|=486320
method i=0
runTestsPerIndex index=BFSBFS has index size (byte): 16794320
BFS required index construction time (s): 1.62197
Method: BFS queryset: 0
*Query 17: (141275,4,00000000000001010000000000000000, false), avg=0.00000294049
*Query 18: (141275,4,00000100000000000100000000000000, false), avg=0.00000262260
*Query 19: (141275,5,00000000000000000010000000000010, false), avg=0.00000301996
*Query 20: (141275,5,00000000000000000100000100000000, false), avg=0.00000294049
*Query 21: (141275,5,00000000000000010000000000100000, false), avg=0.00000294049
*Query 22: (141275,5,00000000100000010000000000000000, false), avg=0.00000294049
*Query 23: (272510,0,00000000000000000000000000000011, false), avg=0.00000222524
*Query 24: (272510,0,00000000000000000000000010000010, false), avg=0.00000262260
*Query 25: (272510,0,00000000000100000000000000001000, false), avg=0.00000222524
*Query 26: (272510,0,00000000000100000001000000000000, false), avg=0.00000238418
*Query 27: (272510,0,00000000101000000000000000000000, false), avg=0.00000262260
*Query 28: (272510,0,00000100000000000000000000000010, false), avg=0.00000262260
*Query 29: (272510,1,00000000000100000000000000000001, false), avg=0.00000294049
*Query 30: (272510,1,00000000000100001000000000000000, false), avg=0.00000294049
*Query 31: (272510,1,00000000001000000000010000000000, false), avg=0.00000294049
*Query 32: (272510,2,00000000001000000000000001000000, false), avg=0.00000294049
*Query 33: (272510,2,00000100001000000000000000000000, false), avg=0.00000294049
*Query 34: (272510,3,00000000000000000010000000000010, false), avg=0.00000262260
*Query 35: (272510,3,00000000001000000000100000000000, false), avg=0.00000230471
*Query 36: (272510,4,00000000001000000000000100000000, false), avg=0.00000230471
*Query 37: (272510,4,00000000001000010000000000000000, false), avg=0.00000254313
*Query 38: (272510,4,00000100000100000000000000000000, false), avg=0.00000230471
*Query 39: (272510,5,00000000000000000000000000000011, false), avg=0.00000230471
*Query 40: (272510,5,00000000000101000000000000000000, false), avg=0.00000294049
*Query 41: (272510,5,00000001000000000000000000000010, false), avg=0.00000230471
*Query 42: (272510,6,00000000000000000000100000000010, false), avg=0.00000294049
*Query 43: (272510,6,00000000001000000000000000000100, false), avg=0.00000262260
*Query 44: (272510,6,00000000001000100000000000000000, false), avg=0.00000230471
*Query 45: (272510,7,00000000000000000000100000000010, false), avg=0.00000294049
*Query 46: (272510,7,00000100000100000000000000000000, false), avg=0.00000254313
*Query 47: (272510,8,00000000000000000000100000000010, false), avg=0.00000262260
*Query 48: (272510,8,00000000000100000000000010000000, false), avg=0.00000254313
*Query 49: (272510,8,00000000000100000000100000000000, false), avg=0.00000262260
*Query 50: (272510,8,00000100000100000000000000000000, false), avg=0.00000262260
*Query 51: (272510,9,00000000000101000000000000000000, false), avg=0.00000254313
*Query 52: (272510,9,00000000001000000000100000000000, false), avg=0.00000262260
*Query 53: (272510,9,00000001001000000000000000000000, false), avg=0.00000262260
*Query 54: (272510,9,00000010000100000000000000000000, false), avg=0.00000294049
*Query 55: (272510,10,00000000000000000000000010000010, false), avg=0.00000230471
*Query 56: (272510,10,00000000001000000000000000000100, false), avg=0.00000262260
*Query 57: (272510,10,00000000011000000000000000000000, false), avg=0.00000294049
*Query 58: (272510,10,00000100000000000000000000000010, false), avg=0.00000262260
*Query 59: (272510,11,00000000000000000001000000000010, false), avg=0.00000230471
*Query 60: (272510,11,00000000000001000000000000000010, false), avg=0.00000262260
*Query 61: (272510,11,00000000000100000000000001000000, false), avg=0.00000294049
*Query 62: (272510,11,00000000000100000001000000000000, false), avg=0.00000294049
*Query 63: (272510,11,00000000000100000100000000000000, false), avg=0.00000294049
*Query 64: (272510,11,00000000001000000100000000000000, false), avg=0.00000262260
*Query 65: (272510,12,00000000000000000000100000000010, false), avg=0.00000222524
*Query 66: (272510,12,00000000000000010000000000000010, false), avg=0.00000230471
*Query 67: (272510,12,00000000000100000000000100000000, false), avg=0.00000294049
*Query 68: (272510,12,00000000000100100000000000000000, false), avg=0.00000262260
*Query 69: (272510,12,00000000000101000000000000000000, false), avg=0.00000254313
*Query 70: (272510,12,00000000001000100000000000000000, false), avg=0.00000262260
*Query 71: (272510,13,00000000001000000000000000001000, false), avg=0.00000262260
*Query 72: (272510,13,00000100000000000000000000000010, false), avg=0.00000262260
*Query 73: (272510,14,00000000000000000000000000000110, false), avg=0.00000262260
*Query 74: (272510,14,00000000000000000000000100000010, false), avg=0.00000262260
*Query 75: (272510,14,00000000000000000000001000000010, false), avg=0.00000262260
*Query 76: (272510,14,00000000001000000000000010000000, false), avg=0.00000294049
*Query 77: (272510,14,00000000001000000000100000000000, false), avg=0.00000230471
*Query 78: (272510,14,00000000001000000010000000000000, false), avg=0.00000262260
*Query 79: (272510,14,00000000001000100000000000000000, false), avg=0.00000230471
*Query 80: (272510,15,00000000000100000100000000000000, false), avg=0.00000294049
*Query 81: (272510,15,00000000001000000100000000000000, false), avg=0.00000254313
*Query 82: (272510,15,00000000001010000000000000000000, false), avg=0.00000262260
*Query 83: (272510,15,00000100000000000000000000000010, false), avg=0.00000222524
*Query 84: (272510,16,00000000000000000000010000000010, false), avg=0.00000262260
*Query 85: (272510,16,00000000001000000000000000000010, false), avg=0.00000262260
*Query 86: (272510,16,00000000001000000001000000000000, false), avg=0.00000262260
*Query 87: (272510,16,00000000001000010000000000000000, false), avg=0.00000230471
*Query 88: (272510,17,00000000000000000000010000000010, false), avg=0.00000262260
*Query 89: (272510,17,00000000001000000000000000001000, false), avg=0.00000262260
*Query 90: (272510,17,00000000010100000000000000000000, false), avg=0.00000262260
*Query 91: (272510,17,00000001001000000000000000000000, false), avg=0.00000222524
*Query 92: (272510,18,00000000000000000100000000000010, false), avg=0.00000262260
*Query 93: (272510,18,00000000000000001000000000000010, false), avg=0.00000254313
*Query 94: (272510,18,00000000000100000000000000000010, false), avg=0.00000294049
*Query 95: (272510,18,00000000000100000000000000100000, false), avg=0.00000262260
*Query 96: (272510,18,00000000000100100000000000000000, false), avg=0.00000262260
*Query 97: (272510,19,00000000000100000010000000000000, false), avg=0.00000270207
*Query 98: (272510,19,00000000000100010000000000000000, false), avg=0.00000262260
*Query 99: (272510,19,00000000100100000000000000000000, false), avg=0.00000294049
indexName=BFS,j=0,trueSum=0.000313203,falseSum=0.000267267
Method: BFS queryset: 1
*Query 0: (35333,86,00000001000000001000100000010000, true), avg=0.00000333786
*Query 1: (35333,86,00000001100000001001000000000000, true), avg=0.00000286102
*Query 2: (35333,91,00000001001000001000000000100000, true), avg=0.00000333786
*Query 3: (35333,1387,00000000000000111000000000000010, true), avg=0.00000301996
*Query 4: (35333,11691,00000000100000001001000000001000, true), avg=0.00000325838
*Query 5: (35333,35341,00000000000101010010000000000000, true), avg=0.00000286102
*Query 6: (35333,35344,00000000000000010010000000001010, true), avg=0.00000333786
*Query 7: (35333,35345,00000000000000010010001000001000, true), avg=0.00000301996
*Query 8: (35333,35345,00000000000000010110001000000000, true), avg=0.00000301996
*Query 9: (35333,35350,00000000000000000110000001100000, true), avg=0.00000294049
*Query 10: (35333,35350,00000000001000010100000100000000, true), avg=0.00000294049
*Query 11: (35333,35351,00000010000010001010000000000000, true), avg=0.00000301996
*Query 12: (35333,35355,00000010000000001010001000000000, true), avg=0.00000325838
*Query 13: (35333,35355,00000100000000001010000100000000, true), avg=0.00000294049
*Query 14: (35333,35357,00000000000000101000000000000011, true), avg=0.00000294049
*Query 15: (35333,35357,00000000100000011000000000100000, true), avg=0.00000301996
